Be553,Be95,G. C,AynCDM16,AynCDM18,Mo417,G. A,G. B,CaH156,CaH160,StPS26,TelK104,Vi7,NH3,Bi583,Ev1,StP4 (IOM),Ye72a,StPSnd104,LoA16,Pa425,NY2941/2,Pr2,MosRSL78,NY2941/3,Lo6673,StPS1
<persName><status>mry</status> <forename>ywḥnn</forename> <residence>kškryʔ</residence></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <nationality>ṭyyʔ</nationality></persName>,"<persName ref=""mry ywḥnn sbʔ""><status>mry</status> <forename>ywḥnn</forename> <trait>sbʔ</trait></persName>",,<persName><status>mry</status> <forename>ywḥnn</forename> d<residence>ḥṭrʔ</residence></persName>,"<persName ref=""mry mʔry šlyḥʔ""><status>mry</status> <forename>mʔry</forename></persName>",<persName><status>mry</status> <forename>ywḥnn</forename> <residence>kškryʔ</residence></persName>,<persName><status>mry</status> <forename>dywdwrws</forename></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <nationality>ṭyyʔ</nationality></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>kškryʔ</residence></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>zynyʔ</residence></persName>,"<persName ref=""mry ʔprym""><status>mry</status> <forename>ʔprym</forename></persName>",<persName><status>mry</status> <forename>ywḥnn</forename> <nationality>ṭyyʔ</nationality></persName>,<persName><status>mry</status> <addName>bry mlkʔ</addName></persName>,"<persName ref=""mry ywḥnn mʕmdnʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>mʕmdnʔ</virtue></persName>",<persName><forename>yʕqwb</forename> <addName>br ḥlpy</addName></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>zynyʔ</residence></persName>,<persName><status>mry</status> <forename>ʔzd</forename></persName>,"<persName ref=""mry mʔry šlyḥʔ""><status>mry</status> <forename>mʔry</forename></persName>",<persName><forename>tʔdwrws</forename></persName>,"<persName ref=""mry nsṭwrys""><status>mry</status> <forename>nsṭwrys</forename></persName>",<persName><status>mry</status> <forename>ywḥnn</forename> <residence>kškryʔ</residence></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>kškryʔ</residence></persName>,"<persName ref=""mry ʔdy šlyḥʔ""><status>mry</status> <forename>ʔdy</forename></persName>",<persName><status>mry</status> <forename>ywḥnn</forename> <nationality>ṭyyʔ</nationality></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <nationality>ṭyyʔ</nationality></persName>,
<persName><status>mry</status> <forename>ywḥnn</forename> <residence>ʔgbṭyʔ</residence></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>kškryʔ</residence></persName>,"<persName ref=""mry ywḥnn dḥyrtʔ""><status>mry</status> <forename>ywḥnn</forename> d<residence>ḥrtʔ</residence></persName>",,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>kškryʔ</residence></persName>,<persName><forename>ʔsṭpnws</forename> <virtue>bwkrʔ dshdʔ</virtue></persName>,"<persName ref=""mry ywḥnn qnqlyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>qnqlyʔ</residence></persName>",<persName><status>mry</status> <forename>tʔdwrws</forename></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>kškryʔ</residence></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>ʔgbṭyʔ</residence></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>ḥzyʔ</virtue></persName>,"<persName ref=""mry nrsy""><status>mry</status> <forename>nrsy</forename></persName>",<persName><status>mry</status> <forename>ywḥnn</forename> <residence>kškryʔ</residence></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>rʕyʔ</virtue></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <nationality>ṭyyʔ</nationality></persName>,<persName><forename>lby</forename> dʔtkny <addName>tdy</addName></persName>,<persName><status>mry</status> <forename>ywḥnn</forename></persName>,<persName><status>mry</status> <forename>bwktzd</forename></persName>,<persName><status>mry</status> <forename>tʔwmʔ</forename> <virtue>šlyḥʔ</virtue></persName>,"<persName ref=""mry nsṭwrys""><status>mry</status> <forename>nsṭwrys</forename></persName>","<persName ref=""mry ʔprym""><status>mry</status> <forename>ʔprym</forename></persName>",<persName><status>mry</status> <forename>ywḥnn</forename> <residence>ʔgbṭyʔ</residence></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>ʔgbṭyʔ</residence></persName>,<persName><forename>ʔsṭpnws</forename> <virtue>bwkrʔ dshdʔ</virtue></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>kškryʔ</residence></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>kškryʔ</residence></persName>,
<status>mry</status> <residence>ʔgbṭyʔ</residence>,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>ʔgbṭyʔ</residence></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <nationality>ṭyyʔ</nationality></persName>,,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>qrdwyʔ</residence></persName>,<persName><status>mry</status> <forename>dywdwrws</forename></persName>,"<persName ref=""mry ywḥnn nḥlyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>nḥlyʔ</residence></persName>","<persName ref=""mry nsṭwrys""><status>mry</status> <forename>nsṭwrys</forename></persName>",<persName><status>mry</status> <forename>ywḥnn</forename> <residence>ʔgbṭyʔ</residence></persName>,"<persName ref=""mry ywḥnn qnqlyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>qnqlyʔ</residence></persName>","<persName ref=""mry ywḥnn nḥlyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>nḥlyʔ</residence></persName>",<persName><status>mry</status> <forename>ʔbrhm</forename></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>qnqlyʔ</residence></persName>,<persName><status>mry</status> <virtue>ʔbylʔ</virtue></persName>,rasura,<persName><forename>šmʕwn</forename> <residence>qnnyʔ</residence></persName>,"<persName ref=""mry ywḥnn nḥlyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>nḥlyɁ</residence></persName>",<persName><status>mry</status> <forename>gwštzd</forename></persName>,<persName><forename>ʔsṭpnws</forename> <virtue>bwkrʔ dshdʔ</virtue></persName>,"<persName ref=""mry ʔprym""><status>mry</status> <forename>ʔprym</forename></persName>","<persName ref=""mry nrsy""><status>mry</status> <forename>nrsy</forename></persName>",<persName><status>mry</status> <forename>ywḥnn</forename> <residence>qnqlyʔ</residence></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>qnqlyʔ</residence></persName>,<persName><status>mry</status> <forename>dywdwrws</forename></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>ʔgbṭyʔ</residence></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>ʔgbṭyʔ</residence></persName>,
<persName><status>mry</status> <forename>ywḥnn</forename> <residence>qnqlyʔ</residence></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>qnqlyʔ</residence></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <trait>dbqʔ</trait></persName>,,"<persName ref=""mry ywḥnn kmwlyʔ""><status>mry</status> <forename>ywḥnn</forename> d<residence>ʔkmwl</residence></persName>",<persName><status>mry</status> <forename>tʔdwrws</forename></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>rʕyʔ</virtue></persName>,"<persName ref=""mry ʔprym""><status>mry</status> <forename>ʔprym</forename></persName>","<persName ref=""mry ywḥnn nḥlyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>nḥlyʔ</residence></persName>","<persName ref=""mry ywḥnn nḥlyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>nḥlyʔ</residence></persName>",<persName><status>mn</status> <forename>ywḥnn</forename> <nationality>ṭyyʔ</nationality></persName>,"<persName ref=""mry šmʕwn br ṣbʕʔ""><status>mry</status> <forename>šmʕwn</forename> <addName>br ṣbʕʔ</addName></persName>",<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>rʕyʔ</virtue></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>ʔpmyʔ</residence></persName>,rasura,<persName><forename>ʔsṭpnws</forename></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <addName>br mlkʔ</addName></persName>,"<persName ref=""mry šmʕwn dšnʔ""><status>mry</status> <forename>šmʕwn</forename> d<residence>šnʔ</residence></persName>",<persName><status>mry</status> <forename>dywdwrws</forename></persName>,"<persName ref=""mry nrsy""><status>mry</status> <forename>nrsy</forename></persName>",<persName><status>mry</status> <forename>ʔbrhm</forename></persName>,"<persName ref=""mry ywḥnn nḥlyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>nḥlyʔ</residence></persName>","<persName ref=""mry ywḥnn nḥlyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>nḥlyʔ</residence></persName>",<persName><status>mry</status> <forename>tʔdwrws</forename></persName>,"<persName ref=""mry ywḥnn qnqlyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>qnqlyʔ</residence></persName>","<persName ref=""mry ywḥnn nḥlyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>nḥlyʔ</residence></persName>",
"<persName ref=""mry ywḥnn nḥlyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>nḥlʔ</residence></persName>","<persName ref=""mry ywḥnn nḥlyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>nḥlyʔ</residence></persName>","<persName ref=""mry ywḥnn ṭwryʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>ṭwrʔ</virtue></persName>",,<persName><status>mry</status> <forename>ywḥnn</forename> d<residence>ylwmyʔ</residence></persName>,"<persName ref=""mry nsṭwrys""><status>mry</status> <forename ref=""nsṭwrys"">nsṭwr</forename></persName>",<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>dmbdrʔ</virtue></persName>,"<persName ref=""mry nrsy""><status>mry</status> <forename>nrsy</forename></persName>",<persName><status>mry</status> <forename>ywḥnn</forename> <residence>dlyyʔ</residence></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>rʕyʔ</virtue></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <addName>br mlkʔ</addName></persName>,<persName><forename>pwlws</forename> <trait>rbʔ</trait></persName>,"<persName ref=""mry ywḥnn dblwqw""><status>mry</status> <forename>ywḥnn</forename> db<residence>lwq</residence></persName>",the ending is lost,rasura,<persName><forename>tʔdwrws</forename></persName>,,<persName><status>mry</status> <forename>ʔbrhm</forename></persName>,<persName><status>mry</status> <forename>tʔdwrws</forename></persName>,<persName><status>mry</status> <forename>ʔbrhm</forename></persName>,"<persName ref=""mry lwlynʔ""><status>mry</status> <forename>lwlynʔ</forename></persName>",<persName><status>mry</status> <forename>ywḥnn</forename> <residence>dlyyʔ</residence></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>dlyyʔ</residence></persName>,"<persName ref=""mry nsṭwrys""><status>mry</status> <forename>nsṭwrys</forename></persName>","<persName ref=""mry ywḥnn nḥlyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>nḥlyʔ</residence></persName>",<persName><status>mry</status> <forename>ywḥnn</forename> <residence>ʔrzwnyʔ</residence></persName>,
<persName><status>mry</status> <forename>ywḥnn</forename> <residence>dlyyʔ</residence></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>dlyyʔ</residence></persName>,"<persName ref=""mry ywḥnn nḥlyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>nḥylʔ</residence></persName>",,"<persName ref=""mry ywḥnn nḥlyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>nḥlyʔ</residence></persName>","<persName ref=""mry ʔprym""><status>mry</status> <forename>ʔprym</forename></persName>","<persName ref=""mry ywḥnn ddhbʔ""><status>mry</status> <forename>ywḥnn</forename> <trait>ddhbʔ</trait></persName>",<persName><status>mry</status> <forename>ʔbrhm</forename></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>rʕyʔ</virtue></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>dmbdrʔ</virtue></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>rʕyʔ</virtue></persName>,"<persName ref=""ʔnṭwnys""><forename>ʔnṭwnys</forename></persName>","<persName ref=""mry ywḥnn nḥlyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>nḥlyʔ</residence></persName>",,rasura,<persName><forename>dywdwrws</forename></persName>,,<persName><status>mry</status> <forename>yʕqwb</forename></persName>,"<persName ref=""mry nsṭwrys""><status>mry</status> <forename>nsṭwrys</forename></persName>",<persName><status>mry</status> <forename>tʔwmʔ</forename> <virtue>šlyḥʔ</virtue></persName>,<persName><status>mry</status> <forename>ʔwgyn</forename></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>rʕyʔ</virtue></persName>,<persName><status>mry</status> <forename>ywḥnn</forename></persName>,"<persName ref=""mry ʔprym""><status>mry</status> <forename>ʔprym</forename></persName>",<persName><status>mry</status> <forename>ywḥnn</forename> <residence>dlyyʔ</residence></persName>,"<persName ref=""mry ywḥnn qnqlyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>qnqlyʔ</residence></persName>",
<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>rʕyʔ</virtue></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>rʕyʔ</virtue></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>ḥzyʔ</virtue></persName>,,"<persName ref=""mry ywḥnn ṣwṣynʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>ṣwṣynʔ</virtue></persName>","<persName ref=""mry nrsy""><status>mry</status> <forename>nrsy</forename></persName>","<persName ref=""mry ywḥnn ṣwṣynʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>ṣwṣynʔ</virtue></persName>",<persName><status>mry</status> <forename>ʔywb</forename></persName>,"<persName ref=""mry ywḥnn dblwqw""><status>mry</status> <forename>ywḥnn</forename> db<residence>lwqw</residence></persName>","<persName ref=""mry ywḥnn ddhbʔ""><status>mry</status> <forename>ywḥnn</forename> <trait>dhbʔ</trait></persName>",<persName><status>mry</status> <virtue>ʔbylʔ</virtue></persName>,<persName><forename>ʔysdwrʔ</forename></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>dlyyʔ</residence></persName>,,<persName><status>mry</status> <forename>ywḥnn</forename></persName>,"<persName ref=""mry nsṭwrys""> <forename>nsṭwrys</forename></persName>",,<persName><status>mry</status> <forename>gywrgys</forename> <virtue>shdʔ</virtue></persName>,"<persName ref=""mry ʔprym""><status>mry</status> <forename>ʔprym</forename></persName>","<persName ref=""mry ʔdy šlyḥʔ""><status>mry</status> <forename>ʔdy</forename> <virtue>šlyḥʔ</virtue> <trait>ṭwbnʔ</trait></persName>","<persName ref=""mry šlyṭʔ""><status>mry</status> <forename>šlyṭʔ</forename></persName>","<persName ref=""mry ywḥnn dblwqw""><status>mry</status> <forename>ywḥnn</forename> db<residence>lwqw</residence></persName>","<persName ref=""mry ywḥnn dblwqw""><status>mry</status> <forename>ywḥnn</forename> db<residence>lwqw</residence></persName>","<persName ref=""mry nrsy""><status>mry</status> <forename>nrsy</forename></persName>",<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>rʕyʔ</virtue></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>dykyʔ</virtue></persName>,
"<persName ref=""mry ywḥnn dblwqw""><status>mry</status> <forename>ywḥnn</forename> db<residence>lwq</residence></persName>","<persName ref=""mry ywḥnn dblwqw""><status>mry</status> <forename>ywḥnn</forename> db<residence>lwq</residence></persName>","<persName ref=""mry ywḥnn ǧlwyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>ǧlwyʔ</residence></persName>",,"<persName ref=""mry ywḥnn dblwqw""><status>mry</status> <forename>ywḥnn</forename> <residence>lwqyʔ</residence></persName>",<persName><status>mry</status> <forename>ʔbrhm</forename></persName>,"<persName ref=""mry ywḥnn br ʔbgrʔ""><status>mry</status> <forename>ywḥnn</forename> <addName>br ʔbgr</addName></persName>",<persName><status>mry</status> <forename>šrbyl</forename></persName>,"<persName ref=""mry ywḥnn dḥyrtʔ""><status>mry</status> <forename>ywḥnn</forename> d<residence>ḥyrtʔ</residence></persName>","<persName ref=""mry ywḥnn ṣwṣynʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>ṣwṣynʔ</virtue></persName>",<persName><status>mry</status> <forename>ywḥnn</forename> <residence>ʔprmyʔ</residence></persName>,<persName><forename>dwrtʔws</forename></persName>,"<persName ref=""mry ywḥnn ddhbʔ""><status>mry</status> <forename>ywḥnn</forename> <trait>ddhbʔ</trait></persName>",,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>dlyyʔ</residence></persName>,"<persName ref=""mry ʔprym""><forename>ʔprym</forename></persName>",,"<persName ref=""mry qwryqws ṭlyʔ""><status>mry</status> <forename>qwryqws</forename> <trait>ṭlyʔ</trait></persName>","<persName ref=""mry nrsy""><status>mry</status> <forename>nrsy</forename></persName>","<persName ref=""mry mʔry šlyḥʔ""><status>mry</status> <forename>mʔry</forename> <virtue>šlyḥʔ</virtue> <trait>ṭwbnʔ</trait></persName>","<persName ref=""srgys""><status>mry</status> <forename>srgys</forename></persName>","<persName ref=""mry ywḥnn dḥyrtʔ""><status>mry</status> <forename>ywḥnn</forename> d<residence>ḥyrtʔ</residence></persName>","<persName ref=""mry ywḥnn dḥyrtʔ""><status>mry</status> <forename>ywḥnn</forename> d<residence>ḥyrtʔ</residence></persName>",<persName><status>mry</status> <forename>mykʔyl</forename></persName>,"<persName ref=""mry ywḥnn dblwqw""><status>mry</status> <forename>ywḥnn</forename> db<residence>lwqw</residence></persName>",<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>dmbdrʔ</virtue></persName>,
"<persName ref=""mry ywḥnn dḥyrtʔ""><status>mry</status> <forename>ywḥnn</forename> d<residence>ḥyrtʔ</residence></persName>","<persName ref=""mry ywḥnn dḥyrtʔ""><status>mry</status> <forename>ywḥnn</forename> d<residence>ḥyrtʔ</residence></persName>","<persName ref=""mry ywḥnn nḥlyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>nḥlyʔ</residence></persName>",,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>zwʕbyʔ</residence></persName>,"<persName ref=""mry ʔbʔ qtwlyqʔ""><status>mry</status> <forename>ʔbʔ</forename> <virtue>qtwlyqʔ</virtue></persName>",<persName><status>mry</status> <forename>ywḥnn</forename> <addName>br mrtʔ</addName></persName>,<persName><status>ʔbʔ</status> <forename>pwlws</forename></persName>​,<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>dmbdrʔ</virtue></persName>,"<persName ref=""mry ywḥnn br ʔbgrʔ""><status>mry</status> <forename>ywḥnn</forename> <addName>br ʔbgr</addName></persName>","<persName ref=""mry ywḥnn qnqlyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>qnqlyʔ</residence></persName>","<persName ref=""ʔbʔ ʔwgrys""><forename>ʔwgrys</forename></persName>","<persName ref=""mry ywḥnn ṣwṣynʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>ṣwṣnyʔ</virtue></persName>",,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>rklyʔ</residence></persName>,"<persName ref=""mry nrsy""><forename>nrsy</forename></persName>",,<persName><status>mry</status> <forename>ʔwgyn</forename></persName>,<persName><status>mry</status> <forename>ʔbrhm</forename></persName>,"<persName ref=""mry šmʕwn br ṣbʕʔ""><status>mry</status> <forename>šmʕwn</forename> <addName>br ṣbʕʔ</addName></persName>","<persName ref=""bkws""><status>mry</status> <forename>bkws</forename></persName>","<persName ref=""mry ywḥnn ddhbʔ""><status>mry</status> <forename>ywḥnn</forename> <trait>ddhbʔ</trait></persName>",<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>dmbrrʔ</virtue></persName>,"<persName ref=""mry ʔbʔ qtwlyqʔ""><status>mry</status> <forename>ʔbʔ</forename> <virtue>qtwlyqʔ</virtue></persName>","<persName ref=""mry ywḥnn dḥyrtʔ""><status>mry</status> <forename>ywḥnn</forename> d<residence>ḥyrtʔ</residence></persName>","<persName ref=""mry ywḥnn ddhbʔ""><status>mry</status> <forename>ywḥnn</forename> <trait>dhbʔ</trait></persName>",
<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>dmbdrʔ</virtue></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>dmbdrʔ</virtue></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <trait>ṭbʔ</trait></persName>,,<persName><status>mry</status> <forename>ywḥnn</forename> <nationality>prsyʔ</nationality></persName>,<persName><status>mry</status> <forename>pwlʔ</forename></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <addName>br ʕdtʔ</addName></persName>,"<persName ref=""ʔnṭwnys""><status>ʔbʔ</status> <forename>ʔnṭwnys</forename></persName>​","<persName ref=""mry ywḥnn ddhbʔ""><status>mry</status> <forename>ywḥnn</forename> <trait>ddhbʔ</trait></persName>",<persName><status>mry</status> <forename>ywḥnn</forename> <addName>br mrtʔ</addName></persName>,"<persName ref=""mry ywḥnn ṭwryʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>ṭwryʔ</virtue><residence>kšryʔ</residence></persName>",<persName><forename>pkwmys</forename></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>yḥydyɁ</virtue></persName>,,<persName><status>mry</status> <forename>ywḥnn</forename> db<residence>lqw</residence></persName>,<persName><forename>ʔywb</forename></persName>,,"<persName ref=""mry šlyṭʔ""><status>mry</status> <forename>šlyṭʔ</forename></persName>",<persName><status>mry</status> <forename>ʔywb</forename></persName>,"<persName ref=""mry sbryšwʕ dbyt qwqʔ""><status>mry</status> <forename>sbryšwʕ</forename> d<residence>byt qwqʔ</residence></persName>",<persName><status>mry</status> <forename>šhq</forename></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>dmbdrʔ</virtue></persName>,"<persName ref=""mry ywḥnn ddhbʔ""><status>mry</status> <forename>ywḥnn</forename> <trait>ddhbʔ</trait></persName>",<persName><status>mry</status> <forename>sbryšwʕ</forename> <virtue>qtwlyqʔ</virtue></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>dmbdrʔ</virtue></persName>,"<persName ref=""mry ywḥnn ṣwṣynʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>ṣwṣynʔ</virtue></persName>",
"<persName ref=""mry ywḥnn ddhbʔ""><status>mry</status> <forename>ywḥnn</forename> <trait>ddhbʔ</trait></persName>","<persName ref=""mry ywḥnn ddhbʔ""><status>mry</status> <forename>ywḥnn</forename> <trait>ddhbʔ</trait></persName>",<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>mlpnʔ</virtue></persName>,,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>zrqnyʔ</residence></persName>,<persName><status>mry</status> <forename>ppʔ</forename></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>zwʕby</residence></persName>,"<persName ref=""mqrys""><status>ʔbʔ</status> <forename>mqrys</forename></persName>​",<persName><status>mry</status> <forename>ywḥnn</forename> <addName>br kldwn</addName></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <addName>br ʕdtʔ</addName></persName>,"<persName ref=""mry ywḥnn dʔnzl""><status>mry</status> <forename>ywḥnn</forename> d<residence>ʔnzl</residence></persName>",<persName><forename>bnymyn</forename></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>dmbdrʔ</virtue></persName>,,"<persName ref=""mry ywḥnn dḥyrtʔ""><status>mry</status> <forename>ywḥnn</forename> d<residence>ḥyrtɁ</residence></persName>",<persName><forename>ʔbrhm</forename></persName>,,"<persName ref=""mry dwbynʔ ršʔ dʔbylʔ wtltmʔʔ ddyrʔ ʕlytʔ dbyt sdrʔ""><status>mry</status> <forename>dwbynʔ</forename> <virtue>ršʔ d<virtue>ʔbylʔ</virtue> wtltmʔʔ d<residence>dyrʔ ʕlytʔ dbyt sdrʔ</residence></virtue></persName>","<persName ref=""mry lwlynʔ""><status>mry</status> <forename>lwlynʔ</forename></persName>","<persName ref=""mry ʔbʔ qtwlyqʔ""><status>mry</status> <forename>ʔbʔ</forename> <virtue>qtwlyqʔ</virtue></persName>",<persName><status>mry</status> <forename>kwnypʔ</forename></persName>,"<persName ref=""mry ywḥnn ṣwṣynʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>ṣwṣynʔ</virtue></persName>","<persName ref=""mry ywḥnn ṣwṣynʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>ṣwṣynʔ</virtue></persName>",<persName><status>mry</status> <forename>šmʕwn</forename> <residence>ʔlqwšyʔ</residence></persName>,"<persName ref=""mry ywḥnn ddhbʔ""><status>mry</status> <forename>ywḥnn</forename> <trait>dhbʔ</trait></persName>","<persName ref=""mry ywḥnn br ʔbgrʔ""><status>mry</status> <forename>ywḥnn</forename> <addName>br ʔbgr</addName></persName>",
"<persName ref=""mry ywḥnn ṣwṣynʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>ṣwṣynʔ</virtue></persName>",,<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>bʕyʔ</virtue></persName>,,<persName><status>mry</status> <forename>ywḥnn</forename> d<residence>pnk</residence></persName>,<persName><status>mry</status> <forename>twmrṣʔ</forename></persName>,"<persName ref=""mry ywḥnn ddsn""><status>mry</status> <forename>ywḥnn</forename> d<residence>dsn</residence></persName>","<persName ref=""ʔrsnys""><status>ʔbʔ</status> <forename>ʔrsnys</forename></persName>​","<persName ref=""mry ywḥnn br ʔbgrʔ""><status>mry</status> <forename>ywḥnn</forename> <addName>br ʔbgr</addName></persName>",<persName><status>mry</status> <forename>ywḥnn</forename> <residence>zwʕby</residence></persName>,"<persName ref=""mry ywḥnn ṣwṣynʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>ṣwṣynʔ</virtue></persName>",<persName><forename>ʔsṭpnʔ</forename></persName>,"<persName ref=""mry ywḥnn br ʔbgrʔ""><status>mry</status> <forename>ywḥnn</forename> <addName>br ʔwgrʔ</addName></persName>",,<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>dmbdrʔ</virtue></persName>,"<persName ref=""mry lwlynʔ""><forename>lwlynʔ</forename></persName>",,"<persName ref=""šmwny wbnyh""><forename>šmwny</forename> w<personGrp>bnyh</personGrp></persName>",<persName><status>mry</status> <forename>šrbyl</forename></persName>,<persName><status>mry</status> <forename>šmʕwn</forename> <residence>ʔlqwšyʔ</residence></persName>,<persName><status>mry</status> <forename>ʕbdʔ</forename></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <addName>br kldwn</addName></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <addName>br kldwn</addName></persName>,<persName><status>mry</status> <forename>twmrṣʔ</forename></persName>,"<persName ref=""mry ywḥnn ṣwṣynʔ""><status>mry</status> <forename>ywḥnn</forename> d<virtue>ṣwṣynʔ</virtue></persName>",<persName><status>mry</status> <forename>ywḥnn</forename> <addName>br mrtʔ</addName></persName>,
